family,n,part,hits,rate,verdict
交流材料,9,标题,9,100,必需
交流材料,9,称谓,6,67,可选
交流材料,9,主送机关,0,0,不用
交流材料,9,落款·署名,0,0,不用
交流材料,9,落款·日期,0,0,不用
汇报,5,标题,4,80,必需
汇报,5,称谓,0,0,不用
汇报,5,主送机关,0,0,不用
汇报,5,落款·署名,0,0,不用
汇报,5,落款·日期,0,0,不用
宣传,4,标题,4,100,必需
宣传,4,称谓,2,50,可选
宣传,4,主送机关,0,0,不用
宣传,4,落款·署名,2,50,可选
宣传,4,落款·日期,2,50,可选
推荐/参评,4,标题,3,75,可选
推荐/参评,4,称谓,0,0,不用
推荐/参评,4,主送机关,0,0,不用
推荐/参评,4,落款·署名,0,0,不用
推荐/参评,4,落款·日期,0,0,不用
介绍,3,标题,2,67,可选
介绍,3,称谓,1,33,可选
介绍,3,主送机关,0,0,不用
介绍,3,落款·署名,1,33,可选
介绍,3,落款·日期,1,33,可选
简报,3,标题,3,100,必需
简报,3,称谓,0,0,不用
简报,3,主送机关,0,0,不用
简报,3,落款·署名,0,0,不用
简报,3,落款·日期,0,0,不用
公开信,2,标题,2,100,样本不足
公开信,2,称谓,2,100,样本不足
公开信,2,主送机关,0,0,样本不足
公开信,2,落款·署名,2,100,样本不足
公开信,2,落款·日期,1,50,样本不足
通知,1,标题,1,100,样本不足
通知,1,称谓,0,0,样本不足
通知,1,主送机关,0,0,样本不足
通知,1,落款·署名,0,0,样本不足
通知,1,落款·日期,0,0,样本不足
倡议,1,标题,1,100,样本不足
倡议,1,称谓,0,0,样本不足
倡议,1,主送机关,0,0,样本不足
倡议,1,落款·署名,0,0,样本不足
倡议,1,落款·日期,1,100,样本不足
调研报告,1,标题,0,0,样本不足
调研报告,1,称谓,0,0,样本不足
调研报告,1,主送机关,0,0,样本不足
调研报告,1,落款·署名,0,0,样本不足
调研报告,1,落款·日期,0,0,样本不足
建议,1,标题,1,100,样本不足
建议,1,称谓,1,100,样本不足
建议,1,主送机关,0,0,样本不足
建议,1,落款·署名,1,100,样本不足
建议,1,落款·日期,1,100,样本不足
短评,1,标题,1,100,样本不足
短评,1,称谓,0,0,样本不足
短评,1,主送机关,0,0,样本不足
短评,1,落款·署名,0,0,样本不足
短评,1,落款·日期,0,0,样本不足
指南,1,标题,0,0,样本不足
指南,1,称谓,0,0,样本不足
指南,1,主送机关,0,0,样本不足
指南,1,落款·署名,0,0,样本不足
指南,1,落款·日期,0,0,样本不足
提案,1,标题,0,0,样本不足
提案,1,称谓,0,0,样本不足
提案,1,主送机关,0,0,样本不足
提案,1,落款·署名,0,0,样本不足
提案,1,落款·日期,0,0,样本不足
谈话,1,标题,1,100,样本不足
谈话,1,称谓,0,0,样本不足
谈话,1,主送机关,0,0,样本不足
谈话,1,落款·署名,0,0,样本不足
谈话,1,落款·日期,0,0,样本不足
